Value,Posit16,Posit32,Fixpnt16,Float,Double
0.000010,0.003166,0.003162,0.000000,0.003162,0.003162
0.000020,0.004475,0.004472,0.000000,0.004472,0.004472
0.000040,0.006329,0.006325,0.000000,0.006325,0.006325
0.000080,0.008949,0.008944,0.000000,0.008944,0.008944
0.000160,0.012657,0.012649,0.000000,0.012649,0.012649
0.000320,0.017883,0.017889,0.000000,0.017889,0.017889
0.000640,0.025299,0.025298,0.000000,0.025298,0.025298
0.001280,0.035767,0.035777,0.000000,0.035777,0.035777
0.002560,0.050598,0.050596,0.000000,0.050596,0.050596
0.005120,0.071564,0.071554,0.000000,0.071554,0.071554
0.010240,0.101196,0.101193,0.109375,0.101193,0.101193
0.020480,0.143127,0.143108,0.140625,0.143108,0.143108
0.040960,0.202393,0.202386,0.195312,0.202386,0.202386
0.081920,0.286255,0.286217,0.285156,0.286217,0.286217
0.163840,0.404785,0.404772,0.402344,0.404772,0.404772
0.327680,0.572510,0.572433,0.574219,0.572433,0.572433
